수도권,시군구별,highincome_num,ratio,house_price,total,year
경기 북부,가평군,1777,5.92,268.03,수도권,2021
경기 북부,고양시,35474,9.30,673.79,수도권,2021
경기 남부,과천시,6649,17.85,2157.18,수도권,2021
경기 남부,광명시,7293,6.92,1162.30,수도권,2021
경기 남부,광주시,6518,4.07,500.40,수도권,2021
경기 북부,구리시,6169,8.92,907.12,수도권,2021
경기 남부,군포시,7503,6.50,825.99,수도권,2021
경기 남부,김포시,9634,4.51,607.70,수도권,2021
경기 북부,남양주시,9802,4.55,589.38,수도권,2021
경기 북부,동두천시,1566,5.08,305.15,수도권,2021
경기 남부,부천시,26393,8.28,690.42,수도권,2021
경기 남부,성남시,153839,28.77,1395.58,수도권,2021
경기 남부,수원시,88056,18.29,773.98,수도권,2021
경기 남부,시흥시,8819,3.64,607.03,수도권,2021
경기 남부,안산시,22183,6.49,588.69,수도권,2021
경기 남부,안성시,5022,4.40,295.85,수도권,2021
경기 남부,안양시,50515,18.57,953.61,수도권,2021
경기 북부,양주시,2853,2.81,420.97,수도권,2021
경기 남부,양평군,2596,6.77,399.35,수도권,2021
경기 남부,여주시,2909,5.02,255.81,수도권,2021
경기 북부,연천군,1195,5.60,144.27,수도권,2021
경기 남부,오산시,4098,5.30,505.86,수도권,2021
경기 남부,용인시,56149,13.53,717.86,수도권,2021
경기 남부,의왕시,9888,15.98,899.95,수도권,2021
경기 북부,의정부시,12508,9.28,543.04,수도권,2021
경기 남부,이천시,6457,4.67,323.34,수도권,2021
경기 북부,파주시,12513,5.54,491.60,수도권,2021
경기 남부,평택시,13850,5.01,394.18,수도권,2021
경기 북부,포천시,3926,3.77,284.43,수도권,2021
경기 남부,하남시,9211,8.10,1257.52,수도권,2021
경기 남부,화성시,56297,9.97,719.47,수도권,2021
인천,인천 중구,3933,3.41,337.45,수도권,2021
인천,인천 동구,992,2.45,362.59,수도권,2021
인천,인천 미추홀구,12126,8.93,366.93,수도권,2021
인천,인천 연수구,15076,10.36,718.88,수도권,2021
인천,인천 남동구,16695,6.53,519.29,수도권,2021
인천,인천 부평구,16599,9.95,569.97,수도권,2021
인천,인천 계양구,4540,4.58,480.27,수도권,2021
인천,인천 서구,14275,6.19,450.55,수도권,2021
인천,인천 강화군,1343,5.12,205.30,수도권,2021
서울 북부,서울 종로구,69368,25.22,1113.33,수도권,2021
서울 북부,서울 중구,136106,35.21,1378.09,수도권,2021
서울 북부,서울 용산구,36660,24.02,1764.24,수도권,2021
서울 북부,서울 성동구,46825,23.04,1601.81,수도권,2021
서울 북부,서울 광진구,14261,10.99,1521.43,수도권,2021
서울 북부,서울 동대문구,15249,10.42,1166.57,수도권,2021
서울 북부,서울 중랑구,6230,5.51,953.90,수도권,2021
서울 북부,서울 성북구,12443,10.03,1124.19,수도권,2021
서울 북부,서울 강북구,7523,9.38,950.44,수도권,2021
서울 북부,서울 도봉구,5140,6.50,987.11,수도권,2021
서울 북부,서울 노원구,11628,8.72,1127.41,수도권,2021
서울 북부,서울 은평구,8024,7.36,982.98,수도권,2021
서울 북부,서울 서대문구,17326,14.65,1133.22,수도권,2021
서울 북부,서울 마포구,89637,32.04,1524.09,수도권,2021
서울 남부,서울 양천구,13849,10.35,1485.93,수도권,2021
서울 남부,서울 강서구,54428,18.74,1243.75,수도권,2021
서울 남부,서울 구로구,64840,26.94,1081.57,수도권,2021
서울 남부,서울 금천구,82341,32.23,869.92,수도권,2021
서울 남부,서울 영등포구,154222,35.45,1463.94,수도권,2021
서울 남부,서울 동작구,18181,16.64,1445.36,수도권,2021
서울 남부,서울 관악구,13731,10.69,1080.58,수도권,2021
서울 남부,서울 서초구,145505,29.82,2291.54,수도권,2021
서울 남부,서울 강남구,269668,33.65,2513.36,수도권,2021
서울 남부,서울 송파구,86227,21.51,1841.76,수도권,2021
서울 남부,서울 강동구,14899,9.46,1415.79,수도권,2021